
# ----------------------------------------------------------------------
# control parameters for edpngo4_v1 calculation

# name of kinematics (no blanks)

# ----------------------------------------------------------------------
#\kinematics = ThQ_27.00_8.000
# ----------------------------------------------------------------------

# optional comments inserted into kinematics file for code (not important)

# \ comment1 = 2.0 < Q2 < 8.0

# \ comment2 = 0.0 < pr < 1.5

# ----------------------------------------------------------------------
# calculation control
# ---------------------------------------------------------------------- 


#   ktf: the knock-out nucleon is proton(1), neutron(-1)
#\   ktf  = 1  

#  noff: Off-Shell effects included (1) not included (0)
#\   noff = 1  

#  npv: only pole term in FSI (0), pole+PV (1)
#\   npv  = 1

#  npro: it calculates d\sigma/dE'_e d\Omega_e d\Omega_pf
#\   npro = 1  

#  icon: icon = 0 initialization, 1 - PWIA, 2 -forward rescattering, 3 - charge exchange rescattering
#         12 - PWIA+FSI, 13 - PWIA+CHEX, 123 - PWIA+FSI+CHEX
#\   icon = 12


#  iv2:  - version of parameterization of CHEX amplitude -
#         10 - Gibbs-Loiseau (has only real part), 21 - SAID, 1021 - SAID+GL
#         10021 - SAID+GL (with Im part at p>p0 modelled using SAID's value
#         -21 SAID   - For details look at fpn_chex.f          
#\   iv2 = 10  


#  iv1:  - version of FSI; 1- diagonal FSI using fpn.f, 2- diagonal FSI using f_NN_sd.f
#         which uses SAID parameterization for plab<3.68, 3 - nondiagonal approximation
#         using f_NN_sd.f. At p>1.4 it uses diffractive parametrization like fpn.f
#\  iv1= 3    

#  isd:   - isd = 1 spectator mechanism, isd=2 direct mechanism isd =0 both
#\  isd = 1   

#  iw:    - 1 - Paris 2 - V18 deuteron wave funcion, 3- cd Bonn, 4 - AV18sb
#\  iw = 3    

#  ipp:   - 1 - quasi "pp" wave functio - only S-parital wave, 0, both S and D waves
#\  ipp = 0   

#  ics:  - 1 - SLAC, 2 Kelly, 3 - Bodek, BB Arrington for-factor paremeterizations
#\   ics = 1

#         crs  - cross section in nb/GeV/str^2

#----------------------------------------------------------------------
# kinematic settings
#----------------------------------------------------------------------

# theta_r: angle between recoil and q (degrees)
# phi_r: angle of the recoil plane and the electron scattering plane (degrees) 
# p_miss: missing momentum (GeV/c)
# Q2:  - 4-momemtum transfer squared (GeV/c)**2
# E_I: incident energy (GeV)
# ID: kinematics identification string (no blanks) 


#! theta_r[f,0]/ phi_r[f,1]/ p_miss[f,2]/ Q2[f,3]/ E_i[f,4]/  ID[s,5]/
27.0 0.0 0.0 8.0 10.542  k_9_60_0
27.0 0.0 0.03 8.0 10.542  k_9_60_1
27.0 0.0 0.06 8.0 10.542  k_9_60_2
27.0 0.0 0.09 8.0 10.542  k_9_60_3
27.0 0.0 0.12 8.0 10.542  k_9_60_4
27.0 0.0 0.15 8.0 10.542  k_9_60_5
27.0 0.0 0.18 8.0 10.542  k_9_60_6
27.0 0.0 0.21 8.0 10.542  k_9_60_7
27.0 0.0 0.24 8.0 10.542  k_9_60_8
27.0 0.0 0.27 8.0 10.542  k_9_60_9
27.0 0.0 0.3 8.0 10.542  k_9_60_10
27.0 0.0 0.32999999999999996 8.0 10.542  k_9_60_11
27.0 0.0 0.36 8.0 10.542  k_9_60_12
27.0 0.0 0.39 8.0 10.542  k_9_60_13
27.0 0.0 0.42 8.0 10.542  k_9_60_14
27.0 0.0 0.44999999999999996 8.0 10.542  k_9_60_15
27.0 0.0 0.48 8.0 10.542  k_9_60_16
27.0 0.0 0.51 8.0 10.542  k_9_60_17
27.0 0.0 0.54 8.0 10.542  k_9_60_18
27.0 0.0 0.57 8.0 10.542  k_9_60_19
27.0 0.0 0.6 8.0 10.542  k_9_60_20
27.0 0.0 0.63 8.0 10.542  k_9_60_21
27.0 0.0 0.6599999999999999 8.0 10.542  k_9_60_22
27.0 0.0 0.69 8.0 10.542  k_9_60_23
27.0 0.0 0.72 8.0 10.542  k_9_60_24
27.0 0.0 0.75 8.0 10.542  k_9_60_25
27.0 0.0 0.78 8.0 10.542  k_9_60_26
27.0 0.0 0.8099999999999999 8.0 10.542  k_9_60_27
27.0 0.0 0.84 8.0 10.542  k_9_60_28
27.0 0.0 0.87 8.0 10.542  k_9_60_29
27.0 0.0 0.8999999999999999 8.0 10.542  k_9_60_30
27.0 0.0 0.9299999999999999 8.0 10.542  k_9_60_31
27.0 0.0 0.96 8.0 10.542  k_9_60_32
27.0 0.0 0.99 8.0 10.542  k_9_60_33
27.0 0.0 1.02 8.0 10.542  k_9_60_34
27.0 0.0 1.05 8.0 10.542  k_9_60_35
27.0 0.0 1.08 8.0 10.542  k_9_60_36
27.0 0.0 1.1099999999999999 8.0 10.542  k_9_60_37
27.0 0.0 1.14 8.0 10.542  k_9_60_38
27.0 0.0 1.17 8.0 10.542  k_9_60_39
27.0 0.0 1.2 8.0 10.542  k_9_60_40
27.0 0.0 1.23 8.0 10.542  k_9_60_41
27.0 0.0 1.26 8.0 10.542  k_9_60_42
27.0 0.0 1.29 8.0 10.542  k_9_60_43
27.0 0.0 1.3199999999999998 8.0 10.542  k_9_60_44
27.0 0.0 1.3499999999999999 8.0 10.542  k_9_60_45
27.0 0.0 1.38 8.0 10.542  k_9_60_46
27.0 0.0 1.41 8.0 10.542  k_9_60_47
27.0 0.0 1.44 8.0 10.542  k_9_60_48
27.0 0.0 1.47 8.0 10.542  k_9_60_49
27.0 0.0 1.5 8.0 10.542  k_9_60_50
