
# ----------------------------------------------------------------------
# control parameters for edpngo4_v1 calculation

# name of kinematics (no blanks)

# ----------------------------------------------------------------------
#\kinematics = ThQ_120.00_7.900
# ----------------------------------------------------------------------

# optional comments inserted into kinematics file for code (not important)

# \ comment1 = 2.0 < Q2 < 8.0

# \ comment2 = 0.0 < pr < 1.5

# ----------------------------------------------------------------------
# calculation control
# ---------------------------------------------------------------------- 


#   ktf: the knock-out nucleon is proton(1), neutron(-1)
#\   ktf  = 1  

#  noff: Off-Shell effects included (1) not included (0)
#\   noff = 1  

#  npv: only pole term in FSI (0), pole+PV (1)
#\   npv  = 1

#  npro: it calculates d\sigma/dE'_e d\Omega_e d\Omega_pf
#\   npro = 1  

#  icon: icon = 0 initialization, 1 - PWIA, 2 -forward rescattering, 3 - charge exchange rescattering
#         12 - PWIA+FSI, 13 - PWIA+CHEX, 123 - PWIA+FSI+CHEX
#\   icon = 12


#  iv2:  - version of parameterization of CHEX amplitude -
#         10 - Gibbs-Loiseau (has only real part), 21 - SAID, 1021 - SAID+GL
#         10021 - SAID+GL (with Im part at p>p0 modelled using SAID's value
#         -21 SAID   - For details look at fpn_chex.f          
#\   iv2 = 10  


#  iv1:  - version of FSI; 1- diagonal FSI using fpn.f, 2- diagonal FSI using f_NN_sd.f
#         which uses SAID parameterization for plab<3.68, 3 - nondiagonal approximation
#         using f_NN_sd.f. At p>1.4 it uses diffractive parametrization like fpn.f
#\  iv1= 3    

#  isd:   - isd = 1 spectator mechanism, isd=2 direct mechanism isd =0 both
#\  isd = 1   

#  iw:    - 1 - Paris 2 - V18 deuteron wave funcion, 3- cd Bonn, 4 - AV18sb
#\  iw = 3    

#  ipp:   - 1 - quasi "pp" wave functio - only S-parital wave, 0, both S and D waves
#\  ipp = 0   

#  ics:  - 1 - SLAC, 2 Kelly, 3 - Bodek, BB Arrington for-factor paremeterizations
#\   ics = 1

#         crs  - cross section in nb/GeV/str^2

#----------------------------------------------------------------------
# kinematic settings
#----------------------------------------------------------------------

# theta_r: angle between recoil and q (degrees)
# phi_r: angle of the recoil plane and the electron scattering plane (degrees) 
# p_miss: missing momentum (GeV/c)
# Q2:  - 4-momemtum transfer squared (GeV/c)**2
# E_I: incident energy (GeV)
# ID: kinematics identification string (no blanks) 


#! theta_r[f,0]/ phi_r[f,1]/ p_miss[f,2]/ Q2[f,3]/ E_i[f,4]/  ID[s,5]/
120.0 0.0 0.0 7.9 10.542  k_40_59_0
120.0 0.0 0.03 7.9 10.542  k_40_59_1
120.0 0.0 0.06 7.9 10.542  k_40_59_2
120.0 0.0 0.09 7.9 10.542  k_40_59_3
120.0 0.0 0.12 7.9 10.542  k_40_59_4
120.0 0.0 0.15 7.9 10.542  k_40_59_5
120.0 0.0 0.18 7.9 10.542  k_40_59_6
120.0 0.0 0.21 7.9 10.542  k_40_59_7
120.0 0.0 0.24 7.9 10.542  k_40_59_8
120.0 0.0 0.27 7.9 10.542  k_40_59_9
120.0 0.0 0.3 7.9 10.542  k_40_59_10
120.0 0.0 0.32999999999999996 7.9 10.542  k_40_59_11
120.0 0.0 0.36 7.9 10.542  k_40_59_12
120.0 0.0 0.39 7.9 10.542  k_40_59_13
120.0 0.0 0.42 7.9 10.542  k_40_59_14
120.0 0.0 0.44999999999999996 7.9 10.542  k_40_59_15
120.0 0.0 0.48 7.9 10.542  k_40_59_16
120.0 0.0 0.51 7.9 10.542  k_40_59_17
120.0 0.0 0.54 7.9 10.542  k_40_59_18
120.0 0.0 0.57 7.9 10.542  k_40_59_19
120.0 0.0 0.6 7.9 10.542  k_40_59_20
120.0 0.0 0.63 7.9 10.542  k_40_59_21
120.0 0.0 0.6599999999999999 7.9 10.542  k_40_59_22
120.0 0.0 0.69 7.9 10.542  k_40_59_23
120.0 0.0 0.72 7.9 10.542  k_40_59_24
120.0 0.0 0.75 7.9 10.542  k_40_59_25
120.0 0.0 0.78 7.9 10.542  k_40_59_26
120.0 0.0 0.8099999999999999 7.9 10.542  k_40_59_27
120.0 0.0 0.84 7.9 10.542  k_40_59_28
120.0 0.0 0.87 7.9 10.542  k_40_59_29
120.0 0.0 0.8999999999999999 7.9 10.542  k_40_59_30
120.0 0.0 0.9299999999999999 7.9 10.542  k_40_59_31
120.0 0.0 0.96 7.9 10.542  k_40_59_32
120.0 0.0 0.99 7.9 10.542  k_40_59_33
120.0 0.0 1.02 7.9 10.542  k_40_59_34
120.0 0.0 1.05 7.9 10.542  k_40_59_35
120.0 0.0 1.08 7.9 10.542  k_40_59_36
120.0 0.0 1.1099999999999999 7.9 10.542  k_40_59_37
120.0 0.0 1.14 7.9 10.542  k_40_59_38
120.0 0.0 1.17 7.9 10.542  k_40_59_39
120.0 0.0 1.2 7.9 10.542  k_40_59_40
120.0 0.0 1.23 7.9 10.542  k_40_59_41
120.0 0.0 1.26 7.9 10.542  k_40_59_42
120.0 0.0 1.29 7.9 10.542  k_40_59_43
120.0 0.0 1.3199999999999998 7.9 10.542  k_40_59_44
120.0 0.0 1.3499999999999999 7.9 10.542  k_40_59_45
120.0 0.0 1.38 7.9 10.542  k_40_59_46
120.0 0.0 1.41 7.9 10.542  k_40_59_47
120.0 0.0 1.44 7.9 10.542  k_40_59_48
120.0 0.0 1.47 7.9 10.542  k_40_59_49
120.0 0.0 1.5 7.9 10.542  k_40_59_50
